normalization_type,group_key,kpi,mean,std
eu_year,2020.0,education_spending,5.137037037037037,0.9841623334468245
eu_year,2021.0,education_spending,4.92962962962963,0.9566828969110743
eu_year,2022.0,education_spending,4.781481481481482,0.914430060847923
eu_year,2023.0,education_spending,4.9111111111111105,0.9748109612927062
eu_year,2024.0,education_spending,5.033333333333333,0.9470602287727412
eu_year,2025.0,education_spending,5.04074074074074,0.9475714948708294
eu_year,2014.0,social_protection_spending,17.17037037037037,4.099513556022397
eu_year,2015.0,social_protection_spending,16.833333333333332,4.252962768199636
eu_year,2016.0,social_protection_spending,16.733333333333334,4.295346318982905
eu_year,2017.0,social_protection_spending,16.377777777777776,4.259408891215318
eu_year,2018.0,social_protection_spending,16.18148148148148,4.213169557565625
eu_year,2019.0,social_protection_spending,16.196296296296296,4.1820570464307565
eu_year,2020.0,social_protection_spending,18.155555555555555,4.680428426587706
eu_year,2021.0,social_protection_spending,17.003703703703703,4.341258367861123
eu_year,2022.0,social_protection_spending,16.433333333333334,4.117785065560592
eu_year,2023.0,social_protection_spending,16.585185185185185,4.125782322430472
eu_year,2024.0,social_protection_spending,16.944444444444443,4.31351483785674
eu_year,2025.0,social_protection_spending,16.974074074074075,4.3372795969356535
country_long,AT,gdp_growth,1.1500000000000001,2.9989392063922145
country_long,BE,gdp_growth,1.625,2.529148257633567
country_long,BG,gdp_growth,2.7583333333333333,2.4937953307188527
country_long,CY,gdp_growth,4.533333333333333,4.027029885283905
country_long,CZ,gdp_growth,2.2333333333333334,2.779252133981806
country_long,DE,gdp_growth,0.9500000000000001,2.092193281528436
country_long,DK,gdp_growth,2.1083333333333334,2.025949085483072
country_long,EE,gdp_growth,1.9333333333333336,3.3578492394911827
country_long,EL,gdp_growth,1.4833333333333334,4.156448075708465
country_long,ES,gdp_growth,2.233333333333333,4.439355672603715
country_long,FI,gdp_growth,0.725,1.6798944772054745
country_long,FR,gdp_growth,1.1916666666666667,3.171595048475633
country_long,HR,gdp_growth,3.091666666666667,4.800465570855571
country_long,HU,gdp_growth,2.725,3.196055807909606
country_long,IE,gdp_growth,8.450000000000001,7.151032983232054
country_long,IT,gdp_growth,0.9916666666666667,4.010998137696658
country_long,LT,gdp_growth,3.25,1.788600265316683
country_long,LU,gdp_growth,1.8250000000000002,2.3006422028326234
country_long,LV,gdp_growth,1.95,2.6834509667420963
country_long,MT,gdp_growth,6.575,4.776671530374567
country_long,NL,gdp_growth,1.9333333333333333,2.5406990209687406
country_long,PL,gdp_growth,3.7083333333333335,2.48868652225639
country_long,PT,gdp_growth,2.066666666666667,3.6686220681323767
country_long,RO,gdp_growth,3.158333333333333,2.9650872540689965
country_long,SE,gdp_growth,1.8333333333333333,1.857825382406848
country_long,SI,gdp_growth,2.7916666666666665,2.895908817416025
country_long,SK,gdp_growth,2.2916666666666665,2.2072023976614434
country_long,AT,inflation,3.0083333333333333,2.5443192814701154
country_long,BE,inflation,2.6833333333333336,2.672021139455482
country_long,BG,inflation,2.8333333333333335,4.208505097004773
country_long,CY,inflation,1.275,2.678237208586003
country_long,CZ,inflation,3.9,4.594858787027875
country_long,DE,inflation,2.5,2.4932636515947597
country_long,DK,inflation,1.6916666666666664,2.3765744382632032
country_long,EE,inflation,4.308333333333333,5.437321923242148
country_long,EL,inflation,1.55,3.015565678879564
